feature,mean_abs_shap,mean_shap,pct
roll_mean_14,0.2519739397666748,0.04436697373259371,20.95
roll_mean_28,0.2102039934659283,0.04212908165450801,17.48
onpromotion,0.12822114710391197,0.04268680971164628,10.66
roll_mean_7,0.08723540708047019,0.012890680986354866,7.25
dayofweek,0.07660547452337711,2.7841494007852468e-05,6.37
lag_1,0.07081779566653652,-0.012750100230937604,5.89
lag_7,0.049983539237626315,-0.013790711135710117,4.16
item_nbr,0.04535270844540662,-0.005188165807060595,3.77
days_since_sale,0.036926140151109156,0.007045602278606719,3.07
is_weekend,0.03650580711251483,0.01507632525464199,3.04
lag_28,0.031901726992333714,-0.013892900500963376,2.65
lag_14,0.030266144373401964,-0.00929856937900187,2.52
store_nbr,0.029648863467265862,-0.0010172477311601413,2.47
promo_count_28,0.017244276542565877,-0.008720287798429852,1.43
day,0.016578701030112872,-0.015736888606629106,1.38
zero_rate_28,0.016267592876243287,0.001623086606227085,1.35
promo_lag_1,0.009508917858979653,-0.00525376887311915,0.79
roll_std_7,0.006896998292743272,0.002905807717092981,0.57
class,0.006813985377399303,-0.0019075857296755423,0.57
days_from_holiday,0.004016538995383291,-0.0019010506071864054,0.33
days_to_holiday,0.003898675629067379,0.0016732367255491347,0.32
roll_max_14,0.003878722634511119,-0.0011718804792279992,0.32
roll_max_7,0.003733637717934173,-0.0028573449202154337,0.31
year,0.0033635156344394117,-0.002297758012787538,0.28
roll_std_28,0.0033012219734979103,0.00035820064617390283,0.27
roll_std_14,0.0029876519135297324,-0.0006128483091022896,0.25
weekofyear,0.0028642424061072914,0.000976045351524127,0.24
roll_max_28,0.0026478817663853605,-0.0023495214705533643,0.22
cluster,0.0022827112370113318,1.1409968059380975e-05,0.19
is_payday,0.0021351020403976725,-0.0006049488451118919,0.18
month,0.0018649562434308433,-0.0015511492960259285,0.16
hol_national,0.0015197988773953937,-0.0014383545371472733,0.13
family,0.0014792545929379211,-0.0005668431667335153,0.12
city,0.0012184204346858832,-2.352198570100688e-05,0.1
store_type,0.0007246424597244771,-0.00011827696840385665,0.06
days_in_month,0.0006336831812995314,0.00014399098394438821,0.05
is_holiday,0.00058335624401052,-0.00017830934584309578,0.05
state,0.0002117498598600504,6.350072583622681e-06,0.02
is_event,0.00018419000523652018,0.00018202222499964074,0.02
hol_local,0.00010271001154740338,-7.243025813962999e-05,0.01
is_earthquake,8.535921644327295e-05,-6.245058302365545e-05,0.01
hol_regional,2.2924709479335042e-06,2.2924709479335042e-06,0.0
is_workday_makeup,0.0,0.0,0.0
